자치구,총범죄_발생,총범죄_검거,살인_발생,살인_검거,강도_발생,강도_검거,강간강제추행_발생,강간강제추행_검거,절도_발생,절도_검거,폭력_발생,폭력_검거
중구,2955,2180,5,4,5,5,177,121,1398,816,1370,1234
용산구,3322,2475,10,6,4,3,267,235,1082,589,1959,1642
성동구,2117,1510,5,6,3,3,114,90,966,544,1029,867
광진구,2870,2219,2,2,6,7,235,183,1320,942,1307,1085
동대문구,3216,2482,7,6,4,2,125,110,1617,1060,1463,1304
중랑구,3169,2463,5,5,2,2,143,116,1437,931,1582,1409
성북구,2184,1749,3,2,1,1,146,109,884,578,1150,1059
강북구,2289,2061,6,6,0,0,142,112,970,835,1171,1108
도봉구,1741,1379,7,3,0,1,73,61,800,520,861,794
노원구,3101,2409,7,5,3,2,146,126,1508,899,1437,1377
은평구,3217,2463,9,9,1,4,132,108,1517,993,1558,1349
서대문구,2054,1486,3,3,0,0,131,119,1014,588,906,776
마포구,3891,3033,4,3,4,5,503,389,1471,949,1909,1687
양천구,3000,2113,4,4,1,1,109,88,1518,832,1368,1188
강서구,4008,3411,5,5,6,4,271,214,1670,1275,2056,1913
구로구,3378,2463,7,6,0,1,186,133,1572,918,1613,1405
금천구,2017,1710,7,6,3,3,129,99,886,685,992,917
영등포구,4167,3347,11,11,6,5,284,204,1791,1323,2075,1804
동작구,2454,1760,1,1,1,1,180,109,1085,598,1187,1051
관악구,4485,3516,4,5,3,2,338,284,1971,1212,2169,2013
서초구,3788,2928,10,10,5,2,364,312,1585,1017,1824,1587
강남구,6107,4570,16,17,17,12,640,533,2097,1140,3337,2868
송파구,5174,3790,6,5,3,5,315,255,2502,1506,2348,2019
강동구,3350,2510,3,4,4,4,164,140,1662,990,1517,1372
