자치구,CCTV_총계,범죄예방_총계,방범용,어린이보호구역,공원놀이터,쓰레기무단투기,시설안전_화재예방,교통단속,교통정보수집_분석,기타,총범죄_발생,총범죄_검거,살인_발생,살인_검거,강도_발생,강도_검거,강간강제추행_발생,강간강제추행_검거,절도_발생,절도_검거,폭력_발생,폭력_검거,세대수,총인구,남자,여자,한국인_총계,등록외국인_총계,세대당인구,고령자수
중구,3276.0,2714.0,2274.0,79.0,299.0,62.0,221.0,333.0,8.0,0.0,2955,2180,5,4,5,5,177,121,1398,816,1370,1234,64259,128942,61743,67199,118458,10484,1.84,27442
용산구,3628.0,3218.0,2681.0,165.0,372.0,0.0,5.0,405.0,0.0,0.0,3322,2475,10,6,4,3,267,235,1082,589,1959,1642,103187,215716,103377,112339,202636,13080,1.96,40342
성동구,4682.0,4122.0,3013.0,425.0,431.0,253.0,117.0,443.0,0.0,0.0,2117,1510,5,6,3,3,114,90,966,544,1029,867,132994,282288,135903,146385,274195,8093,2.06,52896
광진구,4749.0,4479.0,3106.0,642.0,667.0,64.0,174.0,96.0,0.0,0.0,2870,2219,2,2,6,7,235,183,1320,942,1307,1085,171265,349963,166279,183684,332072,17891,1.94,62240
동대문구,3846.0,3602.0,2777.0,309.0,484.0,32.0,1.0,0.0,229.0,14.0,3216,2482,7,6,4,2,125,110,1617,1060,1463,1304,176040,364828,175494,189334,344572,20256,1.96,72029
중랑구,5392.0,5009.0,4336.0,141.0,521.0,11.0,79.0,304.0,0.0,0.0,3169,2463,5,5,2,2,143,116,1437,931,1582,1409,188870,383737,187037,196700,377101,6636,2.0,87197
성북구,5074.0,4764.0,3615.0,484.0,665.0,0.0,36.0,256.0,18.0,0.0,2184,1749,3,2,1,1,146,109,884,578,1150,1059,199326,437922,207858,230064,423991,13931,2.13,86899
강북구,4322.0,4168.0,3190.0,356.0,622.0,0.0,49.0,105.0,0.0,0.0,2289,2061,6,6,0,0,142,112,970,835,1171,1108,142545,286607,136950,149657,280068,6539,1.96,73692
도봉구,2820.0,2631.0,1813.0,196.0,622.0,0.0,74.0,115.0,0.0,0.0,1741,1379,7,3,0,1,73,61,800,520,861,794,139130,303770,146238,157532,300820,2950,2.16,77440
노원구,4109.0,3697.0,2118.0,359.0,1114.0,106.0,252.0,160.0,0.0,0.0,3101,2409,7,5,3,2,146,126,1508,899,1437,1377,217252,490739,234459,256280,485526,5213,2.23,103864
은평구,5719.0,5046.0,3894.0,150.0,1002.0,0.0,289.0,376.0,0.0,8.0,3217,2463,9,9,1,4,132,108,1517,993,1558,1349,215129,461842,218014,243828,457412,4430,2.13,101602
서대문구,4337.0,3658.0,2469.0,136.0,1053.0,0.0,258.0,421.0,0.0,0.0,2054,1486,3,3,0,0,131,119,1014,588,906,776,146450,317826,147373,170453,301098,16728,2.06,62082
마포구,3843.0,3697.0,2863.0,229.0,565.0,40.0,0.0,146.0,0.0,0.0,3891,3033,4,3,4,5,503,389,1471,949,1909,1687,180703,370471,170690,199781,358744,11727,1.99,61682
양천구,4854.0,4464.0,2918.0,840.0,706.0,0.0,0.0,198.0,0.0,192.0,3000,2113,4,4,1,1,109,88,1518,832,1368,1188,179924,430045,209045,221000,426587,3458,2.37,83677
강서구,4351.0,4187.0,3185.0,310.0,692.0,0.0,0.0,164.0,0.0,0.0,4008,3411,5,5,6,4,271,214,1670,1275,2056,1913,273397,557177,265902,291275,550669,6508,2.01,111714
구로구,5881.0,5070.0,3657.0,581.0,792.0,40.0,318.0,493.0,0.0,0.0,3378,2463,7,6,0,1,186,133,1572,918,1613,1405,184587,409707,201511,208196,385222,24485,2.09,87340
금천구,3724.0,3372.0,2520.0,295.0,489.0,68.0,111.0,241.0,0.0,0.0,2017,1710,7,6,3,3,129,99,886,685,992,917,121441,237847,119817,118030,223603,14244,1.84,50102
영등포구,5172.0,4539.0,3742.0,287.0,510.0,0.0,5.0,613.0,0.0,15.0,4167,3347,11,11,6,5,284,204,1791,1323,2075,1804,192641,396202,194202,202000,372245,23957,1.93,72874
동작구,4156.0,3632.0,2484.0,444.0,685.0,19.0,200.0,76.0,248.0,0.0,2454,1760,1,1,1,1,180,109,1085,598,1187,1051,187337,385786,185029,200757,373409,12377,1.99,75563
관악구,7036.0,5871.0,4455.0,235.0,1034.0,147.0,944.0,221.0,0.0,0.0,4485,3516,4,5,3,2,338,284,1971,1212,2169,2013,288964,497998,248620,249378,478809,19189,1.66,92116
서초구,6032.0,3916.0,2896.0,203.0,817.0,0.0,879.0,1237.0,0.0,0.0,3788,2928,10,10,5,2,364,312,1585,1017,1824,1587,172911,417288,198221,219067,412479,4809,2.39,71482
강남구,8365.0,7277.0,5363.0,1111.0,771.0,32.0,164.0,850.0,41.0,33.0,6107,4570,16,17,17,12,640,533,2097,1140,3337,2868,245478,562382,268702,293680,556324,6058,2.27,94359
송파구,4683.0,4032.0,2696.0,480.0,856.0,0.0,212.0,439.0,0.0,0.0,5174,3790,6,5,3,5,315,255,2502,1506,2348,2019,286836,652094,312061,340033,645729,6365,2.25,118155
강동구,4496.0,4342.0,3414.0,268.0,660.0,0.0,0.0,154.0,0.0,0.0,3350,2510,3,4,4,4,164,140,1662,990,1517,1372,222289,503987,245362,258625,499186,4801,2.25,96798
