자치구,세대수,총인구,남자,여자,한국인_총계,등록외국인_총계,세대당인구,고령자수
중구,64259,128942,61743,67199,118458,10484,1.84,27442
용산구,103187,215716,103377,112339,202636,13080,1.96,40342
성동구,132994,282288,135903,146385,274195,8093,2.06,52896
광진구,171265,349963,166279,183684,332072,17891,1.94,62240
동대문구,176040,364828,175494,189334,344572,20256,1.96,72029
중랑구,188870,383737,187037,196700,377101,6636,2,87197
성북구,199326,437922,207858,230064,423991,13931,2.13,86899
강북구,142545,286607,136950,149657,280068,6539,1.96,73692
도봉구,139130,303770,146238,157532,300820,2950,2.16,77440
노원구,217252,490739,234459,256280,485526,5213,2.23,103864
은평구,215129,461842,218014,243828,457412,4430,2.13,101602
서대문구,146450,317826,147373,170453,301098,16728,2.06,62082
마포구,180703,370471,170690,199781,358744,11727,1.99,61682
양천구,179924,430045,209045,221000,426587,3458,2.37,83677
강서구,273397,557177,265902,291275,550669,6508,2.01,111714
구로구,184587,409707,201511,208196,385222,24485,2.09,87340
금천구,121441,237847,119817,118030,223603,14244,1.84,50102
영등포구,192641,396202,194202,202000,372245,23957,1.93,72874
동작구,187337,385786,185029,200757,373409,12377,1.99,75563
관악구,288964,497998,248620,249378,478809,19189,1.66,92116
서초구,172911,417288,198221,219067,412479,4809,2.39,71482
강남구,245478,562382,268702,293680,556324,6058,2.27,94359
송파구,286836,652094,312061,340033,645729,6365,2.25,118155
강동구,222289,503987,245362,258625,499186,4801,2.25,96798
